END_TIME,M_TMSI,POS_LAST_LON,POS_LAST_LAT
2017-11-13 16:42:08,C52F0A8A,11.62471,48.133613
2017-11-13 16:44:55,C52F0A8A,11.624717,48.133621
2017-11-13 16:47:08,C52F0A8A,11.624682,48.133618
2017-11-13 16:47:19,C52F0A8A,11.624651,48.133593
2017-11-13 16:48:20,C52F0A8A,11.624659,48.133647
2017-11-13 16:49:20,C52F0A8A,11.624672,48.133666
2017-11-13 16:49:58,C52F0A8A,11.624671,48.133594
2017-11-13 16:50:22,C52F0A8A,11.624665,48.133658
2017-11-13 16:51:00,C52F0A8A,11.624682,48.133618
2017-11-13 16:51:20,C52F0A8A,11.624689,48.133676
2017-11-13 16:52:12,C52F0A8A,11.624676,48.133608
2017-11-13 16:54:58,C52F0A8A,11.624682,48.133618
2017-11-13 16:57:07,C52F0A8A,11.624538,48.133284
2017-11-13 16:59:59,C52F0A8A,11.624817,48.133947
2017-11-13 17:02:17,C52F0A8A,11.624683,48.133634
2017-11-13 17:05:00,C52F0A8A,11.624674,48.133679
2017-11-13 17:07:22,C52F0A8A,11.624672,48.133553
2017-11-13 17:08:22,C52F0A8A,11.624658,48.133669
2017-11-13 17:10:04,C52F0A8A,11.624662,48.13361
2017-11-13 17:12:09,C52F0A8A,11.624668,48.133621
2017-11-13 17:15:04,C52F0A8A,11.624662,48.13361
2017-11-13 17:17:08,C52F0A8A,11.625388,48.135398
2017-11-13 17:20:06,C52F0A8A,11.624682,48.133626
2017-11-13 17:22:29,C52F0A8A,11.624648,48.133634
2017-11-13 17:25:08,C52F0A8A,11.624665,48.133667
2017-11-13 17:26:07,C52F0A8A,11.624675,48.133619
2017-11-13 17:27:07,C52F0A8A,11.624675,48.133619
2017-11-13 17:30:08,C52F0A8A,11.624682,48.133626
2017-11-13 17:32:18,C52F0A8A,11.624711,48.133546
2017-11-13 17:35:09,C52F0A8A,11.62471,48.133613
2017-11-13 17:37:17,C52F0A8A,11.624726,48.133626
2017-11-13 17:40:13,C52F0A8A,11.624723,48.133569
2017-11-13 17:45:12,C52F0A8A,11.624701,48.133661
2017-11-13 17:50:14,C52F0A8A,11.624668,48.133517
2017-11-13 17:55:15,C52F0A8A,11.624683,48.133633
2017-11-13 18:00:17,C52F0A8A,11.624651,48.13366
2017-11-13 18:01:39,C52F0A8A,11.624645,48.133649
2017-11-13 18:02:39,C52F0A8A,11.624701,48.13357
2017-11-13 18:03:39,C52F0A8A,11.624717,48.13371
2017-11-13 18:04:39,C52F0A8A,11.627418,48.133616
2017-11-13 18:05:20,C52F0A8A,11.624716,48.133611
2017-11-13 18:05:39,C52F0A8A,11.624733,48.133626
2017-11-13 18:06:31,C52F0A8A,11.62471,48.1336
2017-11-13 18:10:20,C52F0A8A,11.624708,48.133659
2017-11-13 18:15:21,C52F0A8A,11.624717,48.133666
2017-11-13 18:17:08,C52F0A8A,11.624673,48.133644
2017-11-13 18:20:23,C52F0A8A,11.624679,48.133655
2017-11-13 18:25:25,C52F0A8A,11.625365,48.135246
2017-11-13 18:30:32,C52F0A8A,11.624689,48.133604
2017-11-13 18:32:10,C52F0A8A,11.62471,48.133613
2017-11-13 18:35:31,C52F0A8A,11.624717,48.133621
2017-11-13 18:36:30,C52F0A8A,11.624693,48.133652
2017-11-13 18:40:30,C52F0A8A,11.624705,48.133508
2017-11-13 18:41:42,C52F0A8A,11.624682,48.133627
2017-11-13 18:45:31,C52F0A8A,11.624709,48.133667
2017-11-13 18:46:42,C52F0A8A,11.624717,48.133621
2017-11-13 18:50:34,C52F0A8A,11.624674,48.133679
2017-11-13 18:55:34,C52F0A8A,11.624658,48.133669
2017-11-13 19:00:36,C52F0A8A,11.624675,48.133628
2017-11-13 12:31:22,C52F0A8A,11.625753,48.1362
2017-11-13 12:31:55,C52F0A8A,11.625751,48.136155
2017-11-13 12:32:07,C52F0A8A,11.625741,48.135962
2017-11-13 12:32:17,C52F0A8A,11.62577,48.136274
2017-11-13 12:33:41,C52F0A8A,11.625749,48.136232
2017-11-13 12:37:10,C52F0A8A,11.625632,48.135691
2017-11-13 12:38:12,C52F0A8A,11.625586,48.135529
2017-11-13 12:38:43,C52F0A8A,11.625555,48.135471
2017-11-13 12:39:12,C52F0A8A,11.625629,48.135685
2017-11-13 12:40:12,C52F0A8A,11.625544,48.135454
2017-11-13 12:41:09,C52F0A8A,11.625555,48.135471
2017-11-13 12:42:41,C52F0A8A,11.625664,48.135936
2017-11-13 12:42:51,C52F0A8A,11.624571,48.133767
2017-11-13 12:43:11,C52F0A8A,11.625728,48.135936
2017-11-13 12:43:44,C52F0A8A,11.625815,48.13616
2017-11-13 12:44:12,C52F0A8A,11.625774,48.136024
2017-11-13 12:48:50,C52F0A8A,11.625708,48.135837
2017-11-13 12:49:03,C52F0A8A,11.624667,48.133699
2017-11-13 12:49:38,C52F0A8A,11.624676,48.133706
2017-11-13 12:53:50,C52F0A8A,11.624667,48.133699
2017-11-13 12:57:08,C52F0A8A,11.624646,48.133732
2017-11-13 12:58:49,C52F0A8A,11.624646,48.133732
2017-11-13 13:01:26,C52F0A8A,11.625467,48.135495
2017-11-13 13:02:19,C52F0A8A,11.625551,48.135754
2017-11-13 13:03:19,C52F0A8A,11.624662,48.133738
2017-11-13 13:03:51,C52F0A8A,11.62464,48.133709
2017-11-13 13:08:52,C52F0A8A,11.624694,48.133662
2017-11-13 13:09:12,C52F0A8A,11.624686,48.133655
2017-11-13 13:13:10,C52F0A8A,11.624686,48.133654
2017-11-13 13:13:54,C52F0A8A,11.624702,48.133668
2017-11-13 13:18:56,C52F0A8A,11.624688,48.133671
2017-11-13 13:19:15,C52F0A8A,11.624668,48.133708
2017-11-13 13:20:09,C52F0A8A,11.624688,48.133671
2017-11-13 13:20:22,C52F0A8A,11.624706,48.133677
2017-11-13 13:20:55,C52F0A8A,11.624809,48.134036
2017-11-13 13:23:57,C52F0A8A,11.624639,48.133648
2017-11-13 13:27:11,C52F0A8A,11.624672,48.133658
2017-11-13 13:28:59,C52F0A8A,11.624647,48.133742
2017-11-13 13:30:55,C52F0A8A,11.624615,48.133765
2017-11-13 13:32:02,C52F0A8A,11.624616,48.13374
2017-11-13 13:32:13,C52F0A8A,11.624631,48.133698
2017-11-13 13:34:00,C52F0A8A,11.62446,48.133387
2017-11-13 13:36:05,C52F0A8A,11.624633,48.133751
2017-11-13 13:38:43,C52F0A8A,11.625184,48.133766
2017-11-13 13:39:00,C52F0A8A,11.624624,48.133747
2017-11-13 13:39:44,C52F0A8A,11.624604,48.133719
2017-11-13 13:40:17,C52F0A8A,11.624638,48.133708
2017-11-13 13:42:18,C52F0A8A,11.624633,48.133751
2017-11-13 13:43:19,C52F0A8A,11.624624,48.133747
2017-11-13 13:44:02,C52F0A8A,11.624646,48.133714
2017-11-13 13:44:20,C52F0A8A,11.624655,48.133718
2017-11-13 13:45:21,C52F0A8A,11.624638,48.133708
2017-11-13 13:46:19,C52F0A8A,11.624616,48.13374
2017-11-13 13:47:13,C52F0A8A,11.624675,48.1337
2017-11-13 13:49:04,C52F0A8A,11.624646,48.133723
2017-11-13 13:54:04,C52F0A8A,11.624653,48.133732
2017-11-13 13:56:11,C52F0A8A,11.624816,48.134088
2017-11-13 13:59:06,C52F0A8A,11.624662,48.133738
2017-11-13 14:02:23,C52F0A8A,11.624873,48.136637
2017-11-13 14:02:34,C52F0A8A,11.62432,48.137622
2017-11-13 14:04:14,C52F0A8A,11.625599,48.13624
2017-11-13 14:05:13,C52F0A8A,11.625316,48.136355
2017-11-13 14:09:10,C52F0A8A,11.624639,48.133624
2017-11-13 14:11:12,C52F0A8A,11.624615,48.133764
2017-11-13 14:14:12,C52F0A8A,11.624639,48.133734
2017-11-13 14:17:10,C52F0A8A,11.624593,48.133777
2017-11-13 14:19:14,C52F0A8A,11.624593,48.133777
2017-11-13 14:24:14,C52F0A8A,11.624609,48.133741
2017-11-13 14:29:15,C52F0A8A,11.625417,48.135504
2017-11-13 14:34:18,C52F0A8A,11.624627,48.133639
2017-11-13 14:39:18,C52F0A8A,11.624631,48.133715
2017-11-13 14:43:34,C52F0A8A,11.624617,48.1337
2017-11-13 14:44:23,C52F0A8A,11.624609,48.133749
2017-11-13 14:44:35,C52F0A8A,11.624631,48.133716
2017-11-13 14:45:23,C52F0A8A,11.624607,48.133608
2017-11-13 14:45:37,C52F0A8A,11.624631,48.133653
2017-11-13 14:46:36,C52F0A8A,11.624638,48.133758
2017-11-13 14:47:34,C52F0A8A,11.624661,48.13373
2017-11-13 14:48:27,C52F0A8A,11.625456,48.135351
2017-11-13 14:49:22,C52F0A8A,11.624674,48.133688
2017-11-13 14:54:23,C52F0A8A,11.624682,48.133697
2017-11-13 14:57:08,C52F0A8A,11.624709,48.133667
2017-11-13 14:59:24,C52F0A8A,11.624691,48.133704
2017-11-13 15:02:18,C52F0A8A,11.624664,48.133596
2017-11-13 15:02:51,C52F0A8A,11.624646,48.133704
2017-11-13 15:03:12,C52F0A8A,11.624644,48.133595
2017-11-13 15:04:26,C52F0A8A,11.624633,48.133684
2017-11-13 15:07:11,C52F0A8A,11.624654,48.133711
2017-11-13 15:09:28,C52F0A8A,11.62469,48.133632
2017-11-13 15:14:30,C52F0A8A,11.624673,48.133673
2017-11-13 15:19:30,C52F0A8A,11.624631,48.133715
2017-11-13 15:22:07,C52F0A8A,11.625386,48.135366
2017-11-13 15:24:34,C52F0A8A,11.624644,48.133671
2017-11-13 15:25:11,C52F0A8A,11.624661,48.133631
2017-11-13 15:26:09,C52F0A8A,11.624649,48.133612
2017-11-13 15:27:10,C52F0A8A,11.624645,48.133598
2017-11-13 15:29:34,C52F0A8A,11.624654,48.133623
2017-11-13 15:34:34,C52F0A8A,11.625035,48.136496
2017-11-13 15:37:19,C52F0A8A,11.620878,48.135868
2017-11-13 15:39:36,C52F0A8A,11.624572,48.133289
2017-11-13 15:42:21,C52F0A8A,11.624687,48.133663
2017-11-13 15:43:21,C52F0A8A,11.624684,48.133592
2017-11-13 15:44:39,C52F0A8A,11.624687,48.133663
2017-11-13 12:21:57,C52F0A8A,11.625569,48.135803
